pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_SIGNALING_BY_NOTCH	0.872881355932203	0.951461915955297	0.054568064667094	-0.248729304492268	-0.704110459798411	38	Notch1,Uba52,Aph1a,Tmed2,Wwp2,Ubb,Psenen,Furin,Maml2,Akt1,Dll4,Notch4,Dtx1
REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	0.874251497005988	0.95161596623879	0.0517405459873163	0.267020234097891	0.70314880190281	24	Hjurp,Xpo1,Cdc25b,Ppp2r1b
REACTOME_REGULATED_NECROSIS	0.872689938398357	0.951461915955297	0.0531298054705469	-0.238302912782821	-0.702041853140771	43	Uba52,Sdcbp,Cflar,Chmp4b,Birc3,Chmp3,Ube2l3,Ubb,Chmp2a,Flot1,Bax,Casp3,Gsdme,Rps27a,Fas,Xiap,Stub1
REACTOME_DUAL_INCISION_IN_TC_NER	0.894628099173554	0.952607339176942	0.0522693317499306	-0.228711820613213	-0.701309901824189	60	Uba52,Ddb1,Polr2e,Ubb,Pold2,Pole3,Prpf19,Rpa2,Polr2d,Mnat1,Polr2g,Gtf2h5,Rfc1,Isy1,Pole4,Rps27a,Ercc3,Ercc8,Rbx1,Rpa1,Gtf2h1
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR	0.830188679245283	0.926337554923753	0.0564118388217596	0.325504920231887	0.69988498482015	10	Hsp90b1,Tlr9
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	0.803809523809524	0.915135482948452	0.053457214108991	-0.326885055542569	-0.699163724792502	10	Mapk3
REACTOME_AMPLIFICATION_OF_SIGNAL_FROM_THE_KINETOCHORES	0.91002044989775	0.958308998923422	0.051011413203915	-0.222750718477039	-0.698992446906669	69	Ppp2r1a,Dync1i1,Ppp2r5b,Ckap5,Cenpm,Rps27rt,Clasp1,Zwint,Rangap1,Dync1i2,Zwilch
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR	0.819047619047619	0.922927645336679	0.0525898950623616	-0.323262097504817	-0.691414698663922	10	Eif2s3x,Mbtps1
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE	0.865612648221344	0.948152729592083	0.0517405459873163	-0.289740353647616	-0.689917506008463	15	Mtmr2,Pik3c3,Pi4k2a
REACTOME_OTHER_INTERLEUKIN_SIGNALING	0.856854838709677	0.940873061023249	0.0531298054705469	0.290641846617111	0.688546573757694	15	Csf1r,Csf1,Il16,Stx3
REACTOME_PHASE_2_PLATEAU_PHASE	0.820952380952381	0.922927645336679	0.0524827622635459	-0.32087431495204	-0.686307548871396	10	Kcne4,Cacng7,Cacna2d2
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	0.881147540983607	0.952607339176942	0.0525898950623616	-0.239974949281591	-0.683062182007986	36	Uba52,Ube2m,Itgb1,Smad3,Ubb,Strap,Furin,Itga8,Tgfbr3
REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING	0.875751503006012	0.95161596623879	0.0518457624865066	-0.262112460567176	-0.679277907948928	23	Uba52,Nrg3,Erbin,Nrg1,Ubb
REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING	0.841392649903288	0.932898109837186	0.0520570030732099	-0.309831971395136	-0.676355879522473	11	Cndp2,Oplah
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	0.891089108910891	0.952607339176942	0.0504983044100709	0.265482020051163	0.675657000856209	20	Ppm1k,Acadsb,Ivd,Hibch,Bcat2,Dbt,Acat1
REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES	0.869739478957916	0.950349479446698	0.0521630305460055	-0.254744768675964	-0.674204382373062	25	Blm,Kat5,Xrcc3,Palb2
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	0.918918918918919	0.963449421926792	0.0513223330421143	-0.231556781719072	-0.66992383881965	41	Col9a3,Col2a1,Col4a1,Ctss,Col6a5,Col15a1,Lox,Col12a1,Ctsb,Col8a2,Ctsl,Col7a1,Col4a6
REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS	0.923664122137405	0.963449421926792	0.0471642455670861	0.236072772807185	0.669336226390294	32	Ctc1,Pot1a,Rfc2,Dna2,Terf2,Pold1,Stn1,Pold4
REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR	0.922772277227723	0.963449421926792	0.0488970772260102	-0.223618094292905	-0.668606426960689	47	Uba52,Blm,Kat5,Xrcc3,Palb2,Ubb,Pold2,Pole3,Rpa2,Brca1,Rfc1,Nbn,Pole4,Rps27a,Rad51
REACTOME_SIALIC_ACID_METABOLISM	0.918410041841004	0.963449421926792	0.05163559644842	-0.242909701189234	-0.667550508046609	32	Glb1,St6gal2,St8sia6,Slc17a5,St3gal2,St3gal5,St3gal1,Neu4,St3gal4,Neu1,St6galnac6
REACTOME_DEADENYLATION_OF_MRNA	0.897795591182365	0.952607339176942	0.0507027937029348	-0.255987537064963	-0.663404854016553	23	Eif4b,Parn
REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY	0.92354124748491	0.963449421926792	0.0495901956956338	-0.220561526964563	-0.661689932770651	49	Eif4b,Lsm4,Parn,Eif4a3,Nt5c3b,Exosc4,Lsm5,Exosc1,Paip1,Exosc2
REACTOME_INTERLEUKIN_7_SIGNALING	0.853333333333333	0.940873061023249	0.0507027937029348	-0.309132191332428	-0.661192705755564	10	Irs2,Pik3r1
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS	0.899799599198397	0.952607339176942	0.0506004243853618	-0.24756645298929	-0.655206340061274	25	Prkcd,Abhd12,Mgll,Dgkq,Itpr1,Prkce,Prkcq,Prkch,Daglb,Dagla,Abhd6
REACTOME_REGULATION_OF_APC_C_ACTIVATORS_BETWEEN_G1_S_AND_EARLY_ANAPHASE	0.897916666666667	0.952607339176942	0.0524827622635459	-0.241966016315608	-0.651895716797597	30	Uba52,Anapc7,Fzr1,Ubb,Anapc2,Anapc10,Anapc11
REACTOME_METABOLISM_OF_STEROID_HORMONES	0.887775551102204	0.952607339176942	0.051218434854034	0.263557051417524	0.650087699292544	17	Fdxr,Fdx1,Tspoap1,Akr1b10,Cyp11a1
REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING	0.892215568862275	0.952607339176942	0.0508054139066364	0.280265049965616	0.647449098193908	13	Irf3,Tbk1
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	0.922924901185771	0.963449421926792	0.0487989701682839	-0.259747721529451	-0.641141579909519	18	Prkcd,Pla2g6,Pik3r1,Pik3ca
REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM	0.876208897485493	0.95161596623879	0.0501934252649434	-0.293330365150258	-0.640333262634256	11	Fads1,Fads2,Hsd17b4,Acsl1,Scp2,Elovl2
REACTOME_G0_AND_EARLY_G1	0.89816700610998	0.952607339176942	0.0514264916187015	0.265802031320127	0.639552245032065	16	Rbbp4,Lin37,E2f4,Lin9,Lin54
REACTOME_SODIUM_CALCIUM_EXCHANGERS	0.901574803149606	0.952607339176942	0.0496901392724606	-0.287225022494314	-0.638561695903742	12	Calm3,Slc8a3,Slc24a3,Slc8a2
