pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.00723386230578114	0.0200940619605032	0.407017918923954	0.348054654056403	1.40119610993779	180	Pdk4,Cox6a1,Cox4i1,Ndufb2,Mfn2,Rhot2,Atp6v0b,Cyb5r3,Ndufc2,Mgst3,Ndufa8,Atp6v0c,Mrps12,Vdac1,Bckdha,Cox7a2l,Got2,Grpel1,Phb2,Ndufa7,Ndufb8,Ndufb6,Cs,Cox6b1,Gpx4,Ndufv1,Aco2,Atp6ap1,Echs1,Ldha,Uqcrq,Slc25a4,Surf1,Pdhx,Gpi1,Cox5a,Uqcrc1,Fxn,Oat,Etfb,Sdhc,Slc25a5,Mdh2,Timm10,Ndufb3,Por,Ndufb7,Uqcrfs1,Iscu,Polr2f,Ndufa3,Sdhb,Uqcr11,Ndufs8,Atp6v1f,Cox8a
HALLMARK_GLYCOLYSIS	0.0122772137413606	0.0306930343534016	0.380730400722792	0.34538555573442	1.38952981794769	168	Irs2,Ddit4,Got1,Pgam1,Pygb,Chst2,Hspa5,Stmn1,Plod1,Fkbp4,Chst1,Pkm,Mxi1,Akr1a1,Taldo1,Aldoa,Got2,Eno2,Capn5,Pcx,Sdc3,Galk1,Chpf,Ldha,B3gat3,Ier3,Sod1,Gpc1,Sdhc,P4ha1,Ak4,B4galt2,Mdh2,Tpi1,Aldh7a1,Pgls
HALLMARK_COAGULATION	0.0385283874382806	0.0740930527659243	0.321775918075361	0.374603361148119	1.34045854649057	77	Fyn,Csrp1,Sirt2,Gsn,Trf,Pef1,Dusp6,C2,Maff,Mmp15,Thbs1,Capn5,Timp3,Dusp14,S100a1,Plat,C1qa,Wdr1,Crip2,Cd9,Gnb2,Iscu,Ctsl,Lgmn,Cpq,Mmp2,P2ry1,S100a13,Thbd
HALLMARK_KRAS_SIGNALING_DN	0.0331058034844216	0.0662116069688433	0.321775918075361	0.35864937456288	1.33433355328736	102	Htr1b,Igfbp2,Ypel1,Zbtb16,Synpo,Chst2,Btg2,Fgfr3,Sptbn2,Arhgdig,Mast3,Adra2c,Clstn3,Pdk2,Sncb,Sphk2,Cntfr,Sgk1,Snn,Dtnb,Ngb,Slc5a5,Nos1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.0206921557960734	0.0470276268092578	0.352487857583619	0.332610302910708	1.3262931208568	162	Jun,Rhob,Ccn1,Igfbp2,Aplp1,Vim,Sdc4,Plod1,Magee1,Pmepa1,Lama1,Igfbp4,Loxl1,Thbs1,Dpysl3,Eno2,Thy1,Timp3,Basp1,Tpm1,Tnfrsf12a,Serpinh1,Gadd45a,Spock1,Gpc1,Tnc,Slit3,Itgb5,Acta2
HALLMARK_FATTY_ACID_METABOLISM	0.0320222706859314	0.0662116069688433	0.321775918075361	0.336968687130809	1.30615248263825	131	Trp53inp2,Adipor2,Dhcr24,Hsd17b7,Mgll,Elovl5,Cbr3,Aldoa,Kmt5a,Eno2,Erp29,Ephx1,Car2,S100a10,Aco2,Gabarapl1,Echs1,Ldha,Ncaph2,Prdx6,Gpd1,Fasn,Sdhc,Cbr1,Hmgcl,Mdh2,Mlycd,Mif,Auh,Sdha,Pts,Gstz1,Odc1,Glul,Fmo1,Cpox,Grhpr,Ywhah,Rap1gds1,Eci1,Sdhd,Mcee,Alad,Bckdhb,Cpt2
HALLMARK_HEME_METABOLISM	0.046821551997632	0.0867065777733925	0.321775918075361	0.322173941229025	1.28216980082566	160	Slc2a1,Ccnd3,Aldh1l1,Blvrb,Btg2,Tmcc2,Slc6a9,Osbp2,Sptb,Mxi1,Mgst3,Sec14l1,Adipor1,Cdr2,Agpat4,Pcx,Add1,Nfe2l1,Tspan5,Car2,Dmtn,H1f0,Slc66a2,Foxo3,Ppp2r5b,Hdgf,Atp6v0a1,Slc25a38,Trak2,Lrp10,Marchf2,Ucp2,Pgls,Mfhas1,Selenbp1,Add2,Mkrn1,Sidt2,Bnip3l,Rap1gap,Ccdc28a,Rad23a,Smox,Ell2,Glrx5,Igsf3,Endod1,Map2k3,Eif2ak1
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.0643641062041506	0.110972596903708	0.287805130535564	0.350459835154017	1.2711837684745	89	Slc2a1,Calr,Arhgdia,Grk2,Mknk2,Mapkap1,Pin1,Tnfrsf1a,Hras,Ppp1ca,Cfl1,Mapk10,Pfn1,Acaca,Pak4,Traf2,Akt1,Sqstm1,Akt1s1,Arf1,Grb2,Cdkn1b,Ralb,Cdkn1a,Arpc3,Csnk2b,Ptpn11,Map2k3,Ube2n
HALLMARK_MYC_TARGETS_V1	0.0591397849462366	0.105606758832565	0.213927855492356	-0.346314207708208	-1.25068358330913	182	Hnrnpu,Psmc6,Srsf1,Xpot,Ssb,Eif2s1,Hdac2,Dek,Abce1,Xpo1,Srsf2,Psma1,Tomm70a,Cdk4,Srpk1,Ssbp1,Eif4e,Gnl3,Hnrnpa2b1,Acp1,Dhx15,Orc2,Rsl1d1,Vbp1,Gspt1,Srsf3,Cnbp,Ube2e1,Eif2s2,Prps2,Rad23b,Nap1l1,Cstf2,Srsf7,Ccna2,Canx,Stard7,Psma2,Snrpb2
HALLMARK_NOTCH_SIGNALING	0.184210526315789	0.287828947368421	0.166933848713193	0.414484325178107	1.24044290038569	32	Ppard,Fzd1,Ccnd1,Psenen,Wnt2,Dtx2,Fbxw11,Tcf7l2,Aph1a,Dtx4,Sap30,Dtx1
