ID	geneSymbol	splicing_event_type	IncLevelDifference	FDR	sig	neglog10fdr	label
3952	Ggt5	RI	0.279	0.739519845538664	n.s.	0.131050166910787	NA
4039	Fos	RI	0.221	0.166387415811375	n.s.	0.778879523299785	NA
4174	Gm3294	RI	-0.315	0.409834707058664	n.s.	0.387391265930415	NA
4244	Gm29443	RI	0.436	0.116672614336875	n.s.	0.933031070587855	NA
4843	Cenpt	RI	-0.41	0.0495314466214673	n.s.	1.30511898777474	NA
4939	Nes	RI	0.127	0.116672614336875	n.s.	0.933031070587855	NA
5069	Cpsf4	RI	0.347	0.000458810289772912	Up in Saline	3.33836685070651	NA
5097	Camk2d	RI	-0.449	0.330982765177995	n.s.	0.480194620070105	NA
5170	Fubp1	RI	0.189	0.233593489305039	n.s.	0.631539266004413	NA
5207	Tmem82	RI	-0.231	0.203152326339928	n.s.	0.692178200111829	NA
5541	Adam8	RI	0.457	0.636373391379103	n.s.	0.196287987760242	NA
5838	Jak3	RI	0.33	0.00410943917980787	Up in Saline	2.3862174427793	NA
6842	Rmst	RI	0.004	0.812775544064148	n.s.	0.0900293725278968	NA
7060	Hip1r	RI	-0.312	0.287207193986857	n.s.	0.541804686053464	NA
7174	Nek8	RI	0.413	0.3877667694923	n.s.	0.411429411462807	NA
7422	4933406C10Rik	RI	0.597	0.049468137974838	n.s.	1.30567443656269	NA
7599	A330102I10Rik	RI	0.375	0.0458216269877847	n.s.	1.33892949438555	NA
7627	Sirt5	RI	0.381	0.037270088126096	n.s.	1.42863958034431	NA
7719	Cep72	RI	0.512	0.0471068860797968	n.s.	1.32691560310751	NA
8103	Phf20l1	RI	0.323	0.0123109495499549	n.s.	1.90970844841705	NA
8255	Armcx6	RI	0.38	0.695755553863428	n.s.	0.157543318227677	NA
8256	Armcx6	RI	0.554	0.00394202597391318	Up in Saline	2.40428051849138	NA
8698	Syvn1	RI	0.53	0.812775544064148	n.s.	0.0900293725278968	NA
8897	Cxxc1	RI	-0.443	1.20333877677127e-06	Up in TMAO	5.91961208822976	Cxxc1_RI
9136	Lrrc73	RI	0.326	0.330982765177995	n.s.	0.480194620070105	NA
9683	Eif4g1	RI	0.564	0.0998378005590944	n.s.	1.00070499512529	NA
9804	Parn	RI	-0.44	0.0182312046286328	n.s.	1.73918463434647	NA
9873	Pfdn5	RI	-0.48	0.101094060931225	n.s.	0.995274357569825	NA
10079	Dnaja1	RI	0.257	0.0795280326280409	n.s.	1.09947976103214	NA
10138	Trappc14	RI	-0.337	0.0052047448756952	Up in TMAO	2.2836005537218	NA
10168	Kmt2b	RI	-0.63	5.4567681471688e-06	Up in TMAO	5.26306449857975	NA
10316	Zfp606	RI	-0.371	0.116672614336875	n.s.	0.933031070587855	NA
10385	Med21	RI	0.576	0.721056673933005	n.s.	0.142030599068271	NA
10592	Abhd16a	RI	0.255	0.57406249614129	n.s.	0.241040824933321	NA
10789	Rfc2	RI	-0.5	0.248387139938583	n.s.	0.604870893190662	NA
10972	Zbed5	RI	0.399	0.264657157825232	n.s.	0.57731635573671	NA
11575	Prkcz	RI	0.303	0.970891564104349	n.s.	0.012829272399787	NA
12038	Hmgb1	RI	0.433	0.00135865275764985	Up in Saline	2.86689152539129	NA
12071	Kdm4c	RI	-0.536	0.0251336230554915	n.s.	1.59974490258957	NA
12150	Kazn	RI	0.53	0.812775544064148	n.s.	0.0900293725278968	NA
12707	Bltp2	RI	0.374	0.636373391379103	n.s.	0.196287987760242	NA
12861	Ubap2l	RI	-0.268	0.958936108202797	n.s.	0.0182103279485573	NA
13305	Surf1	RI	0.392	0.965678560273936	n.s.	0.0151674105726513	NA
13457	Gm44790	RI	-0.351	0.7246858350336	n.s.	0.139850227472761	NA
13638	Gle1	RI	0.397	0.862491623180072	n.s.	0.06424511425392	NA
13718	Atf6b	RI	-0.541	0.161608601569206	n.s.	0.791535527753099	NA
14123	Tm6sf2	RI	-0.422	0.636373391379103	n.s.	0.196287987760242	NA
14152	Atad3a	RI	-0.539	0.821412275936873	n.s.	0.0854388109396279	NA
14275	Hnrnpa3	RI	0.579	1e-15	Up in Saline	15	Hnrnpa3_RI
14323	Chp1	RI	0.382	0.351996782572264	n.s.	0.453461306173852	NA
14493	Pomgnt1	RI	0.751	3.63547909999472e-07	Up in Saline	6.43943834772842	NA
14697	Kifc2	RI	0.364	0.636373391379103	n.s.	0.196287987760242	NA
15051	Phka2	RI	0.811	6.81788536738364e-08	Up in Saline	7.16635030506243	Phka2_RI
15069	Pdia3	RI	0.597	0.0879489640120178	n.s.	1.05576927191447	NA
15136	Sez6l2	RI	0.445	0.116672614336875	n.s.	0.933031070587855	NA
15223	Pcnx3	RI	0.389	0.611697550072978	n.s.	0.21346325890373	NA
15235	Znrf1	RI	-0.737	0.0121586059083739	n.s.	1.91511621790942	NA
15372	R3hdm1	RI	-0.425	0.489338046133531	n.s.	0.310391016442204	NA
15427	Mier2	RI	0.504	0.0121586059083739	n.s.	1.91511621790942	NA
15429	Rpl34	RI	0.468	0.64778640960383	n.s.	0.188568167619415	NA
15640	Tle1	RI	0.61	0.0795280326280409	n.s.	1.09947976103214	NA
15642	Pdia4	RI	0.491	0.0122405273086507	n.s.	1.91219987285186	NA
15698	Drg2	RI	0.575	0.0471068860797968	n.s.	1.32691560310751	NA
15788	Celsr3	RI	-0.346	0.101103035757429	n.s.	0.995235803925261	NA
15862	Rit1	RI	-0.296	0.101094060931225	n.s.	0.995274357569825	NA
16026	Commd4	RI	0.349	0.296477152852185	n.s.	0.528008768648905	NA
16309	Rnf13	RI	0.435	0.08322560502774	n.s.	1.07974303895587	NA
16341	Neurl4	RI	0.391	0.821412275936873	n.s.	0.0854388109396279	NA
16346	Ift80	RI	0.449	0.100698095199782	n.s.	0.996978744461754	NA
16627	Lynx1	RI	0.399	0.33730290964374	n.s.	0.471979912481803	NA
17077	Atg16l2	RI	-0.264	0.245241614714991	n.s.	0.610405833062248	NA
17207	Rhobtb2	RI	-0.212	0.636373391379103	n.s.	0.196287987760242	NA
17279	Srcap	RI	-0.475	0.5537492402849	n.s.	0.256686856597862	NA
17409	Lmtk3	RI	-0.252	0.09481469855066	n.s.	1.02312433138957	NA
17518	Gtpbp3	RI	0.302	0.203152326339928	n.s.	0.692178200111829	NA
17567	Taok3	RI	0.564	0.00394202597391318	Up in Saline	2.40428051849138	NA
17785	Lsm6	RI	0.463	0.020124015308892	n.s.	1.69628536096641	NA
17936	Cnot1	RI	-0.695	0.000458810289772912	n.s.	3.33836685070651	NA
17962	Phaf1	RI	0.352	0.700711625581773	n.s.	0.154460677020298	NA
17991	Prmt7	RI	-0.295	0.203152326339928	n.s.	0.692178200111829	NA
18119	Ssbp4	RI	0.48	0.100698095199782	n.s.	0.996978744461754	NA
18281	Ntm	RI	0.616	0.00135865275764985	n.s.	2.86689152539129	NA
18493	Ulk3	RI	-0.18	0.774616875071372	n.s.	0.110913046117623	NA
18527	Cep63	RI	0.649	0.00135865275764985	Up in Saline	2.86689152539129	NA
18573	Vps9d1	RI	0.433	0.264657157825232	n.s.	0.57731635573671	NA
18608	Ddx54	RI	0.563	0.636373391379103	n.s.	0.196287987760242	NA
18615	Trpc1	RI	0.467	0.704736596074736	n.s.	0.1519731755573	NA
18830	Zkscan7	RI	-0.253	0.37105392738214	n.s.	0.430562967305448	NA
18953	Trpm2	RI	0.107	0.534207393074979	n.s.	0.272290105926308	NA
19435	Ccdc157	RI	0.332	0.249951315506231	n.s.	0.602144573191873	NA
19505	Pnpt1	RI	-0.335	0.0380537071349056	n.s.	1.41960302851734	NA
19674	Eif4a1	RI	0.61	0.00298667053888427	Up in Saline	2.52481268199449	NA
19852	Uckl1	RI	-0.605	0.0931587119236591	n.s.	1.03077652494966	NA
20278	Miat	RI	0.488	0.30067836811682	n.s.	0.521897815482559	NA
20396	Akap8	RI	-0.336	0.69816277037376	n.s.	0.15604331371767	NA
20539	Stt3a	RI	0.512	0.0147888039337834	n.s.	1.83006694878625	NA
20546	Rgs14	RI	0.613	0.373430682330124	n.s.	0.427790001814821	NA
20770	Slc4a7	RI	-0.226	0.264657157825232	n.s.	0.57731635573671	NA
21173	Capn15	RI	0.459	0.5537492402849	n.s.	0.256686856597862	NA
21272	Eif3d	RI	0.435	0.049468137974838	n.s.	1.30567443656269	NA
21292	Pdia6	RI	-0.61	0.00836427117630971	n.s.	2.07757189545434	NA
