p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	4.3112682578157	0.372	0.026	0	Oligodendrocyte_lineage	Larp6
0	2.57885817323992	0.432	0.086	0	Oligodendrocyte_lineage	Cdc37l1
0	1.50351811377747	0.485	0.143	0	Oligodendrocyte_lineage	Ank3
0	1.12178987831939	0.908	0.57	0	Oligodendrocyte_lineage	Scd2
0	1.52023027303875	0.636	0.299	0	Oligodendrocyte_lineage	Sys1
0	1.56442512762048	0.529	0.193	0	Oligodendrocyte_lineage	Papss1
0	3.01019696485747	0.398	0.062	0	Oligodendrocyte_lineage	Pacs2
0	6.26728059361562	0.342	0.007	0	Oligodendrocyte_lineage	Anln
0	4.41012891834229	0.353	0.018	0	Oligodendrocyte_lineage	Arsg
0	2.17651428415293	0.443	0.11	0	Oligodendrocyte_lineage	Tm7sf3
0	1.31298523385853	0.709	0.376	0	Oligodendrocyte_lineage	Cystm1
0	1.97972485194099	0.462	0.131	0	Oligodendrocyte_lineage	Abhd17b
0	1.74936775452195	0.504	0.175	0	Oligodendrocyte_lineage	Foxn3
0	1.34393009437404	0.465	0.136	0	Oligodendrocyte_lineage	Faim2
0	1.19287755383209	0.59	0.263	0	Oligodendrocyte_lineage	Gprc5b
0	3.43134647929263	0.357	0.034	0	Oligodendrocyte_lineage	Prr18
0	4.51066210189072	0.341	0.019	0	Oligodendrocyte_lineage	Tprn
0	5.05127066133896	0.338	0.016	0	Oligodendrocyte_lineage	Pou3f1
0	1.5304824798283	0.501	0.179	0	Oligodendrocyte_lineage	Tmcc3
0	2.16991608351939	0.418	0.096	0	Oligodendrocyte_lineage	Ncald
0	4.61614355014265	0.342	0.021	0	Oligodendrocyte_lineage	Cntn2
0	5.02260791411578	0.336	0.015	0	Oligodendrocyte_lineage	Pigz
0	2.77354366422934	0.39	0.07	0	Oligodendrocyte_lineage	Tppp
0	1.48222769147924	0.513	0.194	0	Oligodendrocyte_lineage	Rnf130
0	0.915317215559462	0.608	0.29	0	Oligodendrocyte_lineage	Zeb2
0	3.32904577377886	0.362	0.045	0	Oligodendrocyte_lineage	Rtkn
0	1.58779332741621	0.45	0.135	0	Oligodendrocyte_lineage	Lrp1b
0	1.06171029100992	0.724	0.41	0	Oligodendrocyte_lineage	Emc10
0	3.09406386723833	0.368	0.054	0	Oligodendrocyte_lineage	Nipa1
0	1.00257936477858	0.698	0.384	0	Oligodendrocyte_lineage	Rhob
0	1.67466044812376	0.534	0.221	0	Oligodendrocyte_lineage	Map7d1
0	1.28403165036023	0.748	0.435	0	Oligodendrocyte_lineage	Fis1
0	1.65913877919284	0.505	0.192	0	Oligodendrocyte_lineage	Tmod2
