motif	TF_name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj
MA0150.3_Nfe2l2	Nfe2l2	3.22257679074814	1.54105780092455	3.98676688426376	1.52560059636565e-11	5.07428024443359e-11
MA1994.2_Nkx2-1	Nkx2-1	1.30862517922913	0.636802901831336	1.68797606968127	0.113538752084601	0.138971432551551
MA0124.3_Nkx3-1	Nkx3-1	1.37282761419102	0.713308691887785	1.64087504583218	0.0793130146620699	0.10283806138387
MA0122.4_Nkx3-2	Nkx3-2	1.42914054314587	0.364836999357436	1.97156296525179	0.0565229704119878	0.0765311015312755
MA0125.2_Nobox	Nobox	1.92409655196864	0.777217374881366	2.565093157646	0.00110787159142512	0.00180323780306429
MA0626.2_Npas2	Npas2	2.89794961166533	1.31868196680141	3.7431204149692	3.92876669711912e-09	1.07339518689147e-08
MA1995.2_Npas4	Npas4	1.548097524741	0.763420151343084	1.8668545762713	0.0256712740679972	0.0367075227327437
MA1996.2_Nr1H2	Nr1H2	7.34057755319027	1.70173243349882	10.2275090594202	8.25718896670247e-67	1.57918738988185e-65
MA0494.2_Nr1h3::Rxra	Nr1h3::Rxra	2.8289463375889	0.432174073938779	3.95611509145453	1.17207480191114e-08	3.09185249469663e-08
MA1110.3_Nr1H4	Nr1H4	7.34057755319027	1.70173243349882	10.2275090594202	8.25718896670247e-67	1.57918738988185e-65
MA0164.2_Nr2e3	Nr2e3	0.680345758595708	0.324042783810838	0.79767465093872	0.836243281303271	0.841744881838161
MA0677.2_Nr2f6	Nr2f6	2.71556479403481	1.11602768235104	3.53867133588628	6.60727018807951e-08	1.55524975196333e-07
MA1540.3_NR5A1	NR5A1	2.8761041752753	1.34397773581316	3.55290395448363	5.57156209868934e-09	1.4955245633324e-08
MA0505.3_Nr5A2	Nr5A2	3.54414111152202	1.41324301699492	4.51798878321362	3.22745561855709e-14	1.33459651253847e-13
MA0506.3_Nrf1	Nrf1	3.73640873281116	1.46421445377976	4.3801022741901	5.95019097764105e-16	2.93670715993252e-15
MA1997.2_Olig2	Olig2	6.3199717768704	2.12282598779456	7.57174893449764	6.66031131224598e-49	7.83867408287411e-48
MA0680.3_Pax7	Pax7	1.40218984262092	0.654154235575817	1.62689286958439	0.0666581020943163	0.0886842575689599
MA1615.2_Plagl1	Plagl1	2.29231684458027	0.972630490583026	3.12036763322849	2.00905804231467e-05	4.04455105887033e-05
MA0065.3_Pparg::Rxra	Pparg::Rxra	1.39021004126926	0.660242241833827	1.82875156583207	0.0716101116278905	0.0936439921287799
MA1998.2_Prdm14	Prdm14	0.978575858683304	0.415204623140576	1.31206552517351	0.452275487742151	0.490767018613823
MA1616.2_Prdm15	Prdm15	2.14247441103426	1.06446289362545	2.71720858933627	0.0001146200483204	0.000218538053869585
MA1647.3_Prdm4	Prdm4	1.11374752719615	0.509217593569269	1.40567060379482	0.281845969380264	0.319425431964299
